,Total
1/1/14 00:00,113332.69
1/1/14 01:00,118513.45
1/1/14 02:00,118789.65
1/1/14 03:00,116847.22
1/1/14 04:00,116303.9
1/1/14 05:00,118822.06
1/1/14 06:00,124845.27
1/1/14 07:00,132500.32
1/1/14 08:00,139625.74
1/1/14 09:00,148918.74
1/1/14 10:00,154123.4
1/1/14 11:00,154704.93
1/1/14 12:00,152639.16
1/1/14 13:00,140395.04
1/1/14 14:00,132542.95
1/1/14 15:00,128043.26
1/1/14 16:00,131157.66
1/1/14 17:00,138127.61
1/1/14 18:00,150847.86
1/1/14 19:00,164864.21
1/1/14 20:00,165305.62
1/1/14 21:00,159481.75
1/1/14 22:00,150395.39
1/1/14 23:00,138441.24
1/2/14 00:00,128060.93
1/2/14 01:00,119703.43
1/2/14 02:00,115700
1/2/14 03:00,114199.11
1/2/14 04:00,114791.32
1/2/14 05:00,116650.67
1/2/14 06:00,123305.79
1/2/14 07:00,133284.13
1/2/14 08:00,140646.82
1/2/14 09:00,146968.71
1/2/14 10:00,150165.32
1/2/14 11:00,152708.68
1/2/14 12:00,152681.9
1/2/14 13:00,146538.13
1/2/14 14:00,139310.51
1/2/14 15:00,136106.96
1/2/14 16:00,138019.96
1/2/14 17:00,144998.16
1/2/14 18:00,156476.56
1/2/14 19:00,165573.52
1/2/14 20:00,164299.43
1/2/14 21:00,157554.4
1/2/14 22:00,147092.77
1/2/14 23:00,135850.02
1/3/14 00:00,124861.98
1/3/14 01:00,116882.46
1/3/14 02:00,112185.29
1/3/14 03:00,110448.73
1/3/14 04:00,110225.9
1/3/14 05:00,111898.45
1/3/14 06:00,117687.35
1/3/14 07:00,124770.21
1/3/14 08:00,132008.94
1/3/14 09:00,139644.81
1/3/14 10:00,145728.97
1/3/14 11:00,147180.16
1/3/14 12:00,144353.01
1/3/14 13:00,130023.13
1/3/14 14:00,117194.77
1/3/14 15:00,108066.79
1/3/14 16:00,109967.09
1/3/14 17:00,113691.42
1/3/14 18:00,130922.02
1/3/14 19:00,146785.98
1/3/14 20:00,145207.07
1/3/14 21:00,140365.27
1/3/14 22:00,131423.7
1/3/14 23:00,122585.84
1/4/14 00:00,113232.09
1/4/14 01:00,106346.26
1/4/14 02:00,102810.02
1/4/14 03:00,98230.47
1/4/14 04:00,102242.06
1/4/14 05:00,104147.17
1/4/14 06:00,110317.44
1/4/14 07:00,119695.04
1/4/14 08:00,126973.51
1/4/14 09:00,135695.28
1/4/14 10:00,140745.59
1/4/14 11:00,143110.98
1/4/14 12:00,144000.7
1/4/14 13:00,135974.55
1/4/14 14:00,127323.67
1/4/14 15:00,119529.2
1/4/14 16:00,125703.17
