,riders
2014-01-01 00:00:00,113332.69
2014-01-01 01:00:00,118513.45
2014-01-01 02:00:00,118789.65
2014-01-01 03:00:00,116847.22
2014-01-01 04:00:00,116303.9
2014-01-01 05:00:00,118822.06
2014-01-01 06:00:00,124845.27
2014-01-01 07:00:00,132500.32
2014-01-01 08:00:00,139625.74
2014-01-01 09:00:00,148918.74
2014-01-01 10:00:00,154123.4
2014-01-01 11:00:00,154704.93
2014-01-01 12:00:00,152639.16
2014-01-01 13:00:00,140395.04
2014-01-01 14:00:00,132542.95
2014-01-01 15:00:00,128043.26
2014-01-01 16:00:00,131157.66
2014-01-01 17:00:00,138127.61
2014-01-01 18:00:00,150847.86
2014-01-01 19:00:00,164864.21
2014-01-01 20:00:00,165305.62
2014-01-01 21:00:00,159481.75
2014-01-01 22:00:00,150395.39
2014-01-01 23:00:00,138441.24
2014-01-02 00:00:00,128060.93
2014-01-02 01:00:00,119703.43
2014-01-02 02:00:00,115700.0
2014-01-02 03:00:00,114199.11
2014-01-02 04:00:00,114791.32
2014-01-02 05:00:00,116650.67
2014-01-02 06:00:00,123305.79
2014-01-02 07:00:00,133284.13
2014-01-02 08:00:00,140646.82
2014-01-02 09:00:00,146968.71
2014-01-02 10:00:00,150165.32
2014-01-02 11:00:00,152708.68
2014-01-02 12:00:00,152681.9
2014-01-02 13:00:00,146538.13
2014-01-02 14:00:00,139310.51
2014-01-02 15:00:00,136106.96
2014-01-02 16:00:00,138019.96
2014-01-02 17:00:00,144998.16
2014-01-02 18:00:00,156476.56
2014-01-02 19:00:00,165573.52
2014-01-02 20:00:00,164299.43
2014-01-02 21:00:00,157554.4
2014-01-02 22:00:00,147092.77
2014-01-02 23:00:00,135850.02
2014-01-03 00:00:00,124861.98
2014-01-03 01:00:00,116882.46
2014-01-03 02:00:00,112185.29
2014-01-03 03:00:00,110448.73
2014-01-03 04:00:00,110225.9
2014-01-03 05:00:00,111898.45
2014-01-03 06:00:00,117687.35
2014-01-03 07:00:00,124770.21
2014-01-03 08:00:00,132008.94
2014-01-03 09:00:00,139644.81
2014-01-03 10:00:00,145728.97
2014-01-03 11:00:00,147180.16
