X,Tmax,Tmin,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24
1/1/14,15.57142857,3.571428571,5.640535828,5.247806824,4.900790696,4.589946592,4.308440352,4.051208552,3.814395112,3.594995553,5.985279775,8.58019828,10.91576869,12.87105798,14.34482361,15.26075577,15.57142857,14.0952381,12.61904762,11.14285714,10.33333333,9.523809524,8.714285714,8.206174355,7.698062995,7.189951636
1/2/14,15,4.428571429,6.681840276,6.253898017,5.875794027,5.537121443,5.230427058,4.950189567,4.692204664,4.453196868,6.564474861,8.848337276,10.90365228,12.62413891,13.92083029,14.72667413,15,14.19047619,13.38095238,12.57142857,11.57142857,10.57142857,9.571428571,9.411607627,9.251786683,9.091965739
1/3/14,18.71428571,7.571428571,8.932144795,8.673546258,8.445081766,8.24045565,8.055159916,7.885855564,7.730000371,7.585613948,9.833600627,12.23845889,14.40233183,16.21348635,17.57840225,18.42660115,18.71428571,17.47619048,16.23809524,15,14.04761905,13.0952381,12.14285714,11.62751202,11.1121669,10.59682178
1/4/14,18.28571429,7.857142857,10.08147665,9.658449004,9.284747242,8.950060246,8.647006276,8.370118698,8.115235922,7.879116449,9.98524534,12.23345945,14.25605222,15.94874872,17.22428184,18.01689138,18.28571429,16.76190476,15.23809524,13.71428571,13.61904762,13.52380952,13.42857143,12.44156579,11.45456015,10.46755452
1/5/14,16.57142857,7.142857143,9.480548881,9.035620533,8.642607085,8.290649573,7.971975766,7.680830866,7.412834553,7.164575371,9.077516707,11.10773313,12.93388305,14.46197714,15.61336659,16.32879102,16.57142857,15.38095238,14.19047619,13,12.33333333,11.66666667,11,10.38986713,9.779734269,9.169601404
1/6/14,19.85714286,6.428571429,8.559468539,8.153564955,7.795057343,7.47402547,7.183370669,6.917837867,6.673427737,6.447025957,9.200143928,12.08798933,14.68507487,16.85797194,18.49504516,19.51218781,19.85714286,17.61904762,15.38095238,13.14285714,12.76190476,12.38095238,12,11.43101614,10.86203228,10.29304842
1/7/14,20.57142857,7.142857143,9.724064554,9.231952307,8.797346952,8.408203602,8.055905404,7.734074674,7.437858543,7.163478549,9.931578789,12.8155185,15.40857355,17.57777637,19.21189384,20.22713114,20.57142857,18.80952381,17.04761905,15.28571429,14.38095238,13.47619048,12.57142857,11.98516349,11.39889842,10.81263334
1/8/14,20,7.571428571,10.22636827,9.719727833,9.272340781,8.871787249,8.509184498,8.177959462,7.873111484,7.590747609,10.16925893,12.83461261,15.23062354,17.23467616,18.74421335,19.68198474,20,18.38095238,16.76190476,15.14285714,14.33333333,13.52380952,12.71428571,12.14769097,11.58109623,11.01450149
1/9/14,20,8,10.44790675,9.980315087,9.567457491,9.197852427,8.86329056,8.55769851,8.276456631,8.015969144,10.52530787,13.09486151,15.40424093,17.33551537,18.79006235,19.69360398,20,18.0952381,16.19047619,14.28571429,13.61904762,12.95238095,12.28571429,11.91108835,11.53646242,11.16183649
1/10/14,19,8.428571429,10.78721055,10.33620424,9.93803895,9.581621139,9.259021251,8.964374286,8.693219978,8.442087176,10.66901208,12.92906701,14.95981322,16.65778039,17.9364539,18.73068292,19,17.52380952,16.04761905,14.57142857,13.9047619,13.23809524,12.57142857,12.23782418,11.90421978,11.57061539
1/11/14,17.14285714,9.285714286,11.23701099,10.86348924,10.53377228,10.23865573,9.971562447,9.727628925,9.503157298,9.295270238,10.96315837,12.64012896,14.1465858,15.40595169,16.35420973,16.94315747,17.14285714,16.23809524,15.33333333,14.42857143,13.66666667,12.9047619,12.14285714,11.72728397,11.3117108,10.89613763
1/12/14,15.57142857,8.714285714,10.48056446,10.14207491,9.843321686,9.575947746,9.333983373,9.113015405,8.9096891,8.721394589,10.1893839,11.65037193,12.96247562,14.05916023,14.88481459,15.39757107,15.57142857,14.66666667,13.76190476,12.85714286,12.33333333,11.80952381,11.28571429,10.67920637,10.07269846,9.466190553
1/13/14,17.57142857,7,8.859682641,8.502870245,8.187989117,7.906212301,7.651236544,7.418403396,7.204172453,7.005789927,9.291976367,11.54024173,13.55886431,15.24574334,16.51555746,17.30408021,17.57142857,16.28571429,15,13.71428571,13.0952381,12.47619048,11.85714286,11.29149156,10.72584026,10.16018896
1/14/14,14.71428571,7.571428571,9.594537655,9.205889309,8.862963403,8.55612547,8.278498065,8.024999831,7.791769863,7.575805677,9.132580771,10.64880925,12.009797,13.14688798,14.00272081,14.53412237,14.71428571,13.76190476,12.80952381,11.85714286,11.38095238,10.9047619,10.42857143,10.16019916,9.891826899,9.623454634
1/15/14,16.28571429,8,9.355082369,9.094430601,8.864477978,8.658749103,8.472623301,8.302687631,8.146349513,8.001593206,9.825962643,11.5813397,13.15654835,14.4723437,15.46253132,16.07729731,16.28571429,15.19047619,14.0952381,13,12.19047619,11.38095238,10.57142857,10.19595624,9.820483912,9.445011583
1/16/14,15.92857143,7.142857143,9.069539253,8.698445867,8.37111075,8.078294184,7.813405485,7.571578114,7.349116231,7.143146911,9.095457066,10.95298321,12.61937435,14.01103596,15.05815534,15.70820372,15.92857143,14.95238095,13.97619048,13,12.4047619,11.80952381,11.21428571,10.76575096,10.31721621,9.868681453
1/17/14,15.57142857,7.785714286,9.4201467,9.104908627,8.82688785,8.578217215,8.353287318,8.147957521,7.959084083,7.801141171,9.531087719,11.17373369,12.64691676,13.87695085,14.80231177,15.37671456,15.57142857,14.71428571,13.85714286,13,12.61904762,12.23809524,11.85714286,11.35706505,10.85698724,10.35690943
1/18/14,15.85714286,8.428571429,9.85683162,9.580965973,9.337710313,9.120163618,8.923407378,8.743812139,8.578623027,8.460940373,10.10862176,11.67252321,13.07465681,14.24510164,15.12549052,15.67192063,15.85714286,14.61904762,13.38095238,12.14285714,11.66666667,11.19047619,10.71428571,10.39206922,10.06985273,9.747636238
1/19/14,13.85714286,7.714285714,9.425419746,9.094431462,8.802620057,8.541685148,8.305713383,8.090342693,7.892263046,7.756044088,9.116072379,10.40641379,11.5629217,12.52810276,13.25397501,13.70445323,13.85714286,12.9047619,11.95238095,11,10.66666667,10.33333333,10,9.322295611,8.644591222,7.966886833
1/20/14,14.57142857,5.428571429,7.289182445,6.928735088,6.611008619,6.326940931,6.070078836,5.835663721,5.620085695,5.513606405,7.534043851,9.450145508,11.16695977,12.59941065,13.67651365,14.34489338,14.57142857,13.33333333,12.0952381,10.85714286,10.28571429,9.714285714,9.142857143,8.682458743,8.222060343,7.761661943
1/21/14,14.85714286,5.428571429,7.301263543,6.937910067,6.617681248,6.331418044,6.072601183,5.836425065,5.61924524,5.540427673,7.619991003,9.591314192,11.35702825,12.82991979,13.93723871,14.62429153,14.85714286,13.61904762,12.38095238,11.14285714,10.47619048,9.80952381,9.142857143,8.854621285,8.566385427,8.278149569
1/22/14,13,6.285714286,7.989913711,7.65872258,7.366894551,7.106058886,6.870260184,6.65511013,6.457281751,6.382964663,7.86093654,9.261364232,10.51530824,11.5610401,12.34708108,12.83473639,13,12.33333333,11.66666667,11,10.66666667,10.33333333,10,9.704089897,9.408179795,9.112269692
1/23/14,13.14285714,7.857142857,8.81635959,8.629640513,8.465145818,8.318143243,8.18526761,8.064040189,7.952582341,7.94784612,9.108995091,10.20872946,11.19309736,12.01380671,12.63059433,13.01320124,13.14285714,12.52380952,11.9047619,11.28571429,10.61904762,9.952380952,9.285714286,8.883314187,8.480914088,8.078513989
1/24/14,13.85714286,6.142857143,7.676113891,7.377150197,7.113823864,6.878536479,6.665887346,6.471899979,6.293561548,6.296287993,7.987414848,9.588365956,11.02087488,12.21490989,13.11209765,13.66857693,13.85714286,13.0952381,12.33333333,11.57142857,10.76190476,9.952380952,9.142857143,8.786963326,8.43106951,8.075175694
1/25/14,15.28571429,6.142857143,7.719281877,7.41137029,7.140218629,6.89797844,6.67907411,6.479402014,6.295854024,6.35011786,8.350152011,10.24266213,11.9354583,13.34607928,14.40580945,15.06302612,15.28571429,14.61904762,13.95238095,13.28571429,12.71428571,12.14285714,11.57142857,11.23285412,10.89427967,10.55570523
1/26/14,17.57142857,9.142857143,10.21713078,10.00693006,9.821863222,9.65655654,9.507194446,9.370969861,9.245757387,9.357766166,11.19753715,12.93758247,14.49344751,15.78961701,16.76318028,17.36688457,17.57142857,16.47619048,15.38095238,14.28571429,13.61904762,12.95238095,12.28571429,11.77246617,11.25921805,10.74596993
1/27/14,17.28571429,8.285714286,10.23272181,9.851067416,9.515120454,9.215094583,8.94404473,8.696863622,8.469685598,8.541067291,10.50120431,12.35420886,14.01047686,15.38991763,16.42582679,17.06811181,17.28571429,16.33333333,15.38095238,14.42857143,14,13.57142857,13.14285714,12.4400332,11.73720925,11.03438531
