X,Day,Month,Tmax,Tmin,Year,JDay,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24
1/1/14,1,1,15.38907967,2.571085165,2014,1,4.825028053,4.397385569,4.019502494,3.680996636,3.374430354,3.094292614,2.836386145,2.597440423,5.142165578,7.915622404,10.41211587,12.50226878,14.07776182,15.05694712,15.38907967,13.59684066,11.80460165,10.01236264,9.19459707,8.376831502,7.559065934,7.150743717,6.742421499,6.334099282
1/2/14,2,1,15.1353022,3.529876374,2014,2,5.925777064,5.470964437,5.06909704,4.709123401,4.383127593,4.085244888,3.811009079,3.556940373,5.867616759,8.376465217,10.63447244,12.52476833,13.94951466,14.83496914,15.1353022,13.92857143,12.72184066,11.51510989,10.7933837,10.07165751,9.349931319,8.956304468,8.562677617,8.169050766
1/3/14,3,1,18.4478022,6.033997253,2014,3,7.775423915,7.444608482,7.152328535,6.890535737,6.653466443,6.436851219,6.237439182,6.052697741,8.546981942,11.22776804,13.64014308,15.65943269,17.18127746,18.12702648,18.4478022,16.76098901,15.07417582,13.38736264,12.50286172,11.61836081,10.73385989,10.22274831,9.711636727,9.200525145
1/4/14,4,1,18.85611264,6.161057692,2014,4,8.689413563,8.208768764,7.784147394,7.403842137,7.059470725,6.744824979,6.455178424,6.18684932,8.74173893,11.48081712,13.94531962,16.00803872,17.562505,18.52848298,18.85611264,17.0470467,15.23798077,13.42891484,13.08482143,12.74072802,12.39663462,11.81352592,11.23041723,10.64730854
1/5/14,5,1,15.85336538,7.899381868,2014,5,10.06419984,9.65235933,9.288553983,8.962739899,8.667727314,8.398192164,8.150081643,7.920239148,9.526425698,11.24026854,12.78200069,14.0721952,15.0443838,15.64848118,15.85336538,14.36229396,12.87122253,11.3801511,10.65430403,9.92845696,9.20260989,8.824357588,8.446105285,8.067852983
1/6/14,6,1,18.12809066,5.394230769,2014,6,7.68960068,7.252485008,6.866397833,6.520660843,6.207632345,5.921654921,5.658422834,5.414583014,8.017740907,10.75724575,13.22107213,15.28256643,16.83575686,17.8008011,18.12809066,16.31341575,14.49874084,12.68406593,11.7518315,10.81959707,9.887362637,9.376321853,8.865281069,8.354240285
1/7/14,7,1,20.07760989,5.155906593,2014,7,7.843199501,7.331036815,6.878706122,6.47367888,6.10699138,5.772008702,5.463681921,5.178079715,8.246003472,11.45258578,14.33600862,16.74828353,18.56560302,19.69469499,20.07760989,17.88358516,15.68956044,13.49553571,12.55196886,11.60840201,10.66483516,10.17671578,9.688596399,9.200477016
1/8/14,8,1,19.97561813,5.807692308,2014,8,8.712357633,8.158291179,7.66900122,7.23091461,6.834322649,6.472040402,6.138601289,5.829749369,8.759554262,11.80008468,14.53365138,16.82022137,18.54265992,19.61273114,19.97561813,17.85519689,15.73477564,13.6143544,12.69356685,11.7727793,10.85199176,10.42501744,9.998043123,9.571068806
1/9/14,9,1,19.44436813,6.373282967,2014,9,9.144094488,8.615078789,8.147960787,7.729761168,7.351198415,7.005405175,6.687157401,6.392388559,9.114655092,11.91568421,14.43338623,16.53905259,18.12503845,19.11026575,19.44436813,17.29407051,15.14377289,12.99347527,12.20169414,11.409913,10.61813187,10.36055829,10.10298471,9.845411137
1/10/14,10,1,18.25927198,7.081387363,2014,10,9.587837559,9.108826322,8.685910553,8.307318467,7.964634413,7.651633096,7.363579764,7.096789341,9.442706567,11.83415724,13.98320011,15.7802233,17.1335696,17.9742115,18.25927198,16.54658883,14.83390568,13.12122253,12.48260073,11.84397894,11.20535714,10.85846358,10.51157002,10.16467646
1/11/14,11,1,16.92513736,7.67135989,2014,11,9.817782899,9.407156021,9.044659999,8.720186221,8.426510166,8.158288912,7.91145961,7.682860637,9.637070344,11.61438885,13.39095264,14.87630778,15.99482717,16.68956121,16.92513736,15.69551282,14.46588828,13.23626374,12.58081502,11.9253663,11.26991758,10.97344593,10.67697428,10.38050262
1/12/14,12,1,16.17307692,8.35989011,2014,12,10.08403097,9.753773779,9.462270269,9.201373109,8.965261594,8.749632256,8.551213444,8.367459742,10.0356827,11.70149975,13.19770911,14.44836659,15.38999165,15.97478944,16.17307692,14.94974817,13.72641941,12.50309066,11.92044414,11.33779762,10.7551511,10.34619558,9.937240054,9.528284531
1/13/14,13,1,16.94471154,7.210851648,2014,13,9.119329008,8.753219335,8.43012688,8.140997318,7.879364716,7.640450207,7.420621753,7.217054213,9.318109642,11.38895814,13.24838108,14.80228304,15.9720293,16.69842516,16.94471154,15.47996795,14.01522436,12.55048077,11.95524267,11.36000458,10.76476648,10.45979494,10.15482339,9.849851843
1/14/14,14,1,13.02678571,7.662431319,2014,14,9.544880297,9.183383701,8.864401824,8.578978644,8.320720364,8.08490258,7.867935364,7.667026802,8.832861031,9.972022248,10.99460992,11.84900901,12.49209373,12.89140437,13.02678571,12.10336538,11.17994505,10.25652473,9.814445971,9.372367216,8.930288462,8.732889795,8.535491129,8.338092463
1/15/14,15,1,15.11126374,6.816620879,2014,15,8.140693797,7.886161345,7.661591278,7.460666624,7.278878975,7.112897851,6.96019302,6.821206841,8.639817257,10.39816932,11.97618913,13.29442076,14.28648897,14.9024414,15.11126374,13.75206044,12.39285714,11.03365385,10.19700092,9.360347985,8.523695055,8.2163662,7.909037345,7.60170849
1/16/14,16,1,15.46720467,5.15418956,2014,16,7.294379635,6.882323013,6.518838359,6.193672642,5.899511574,5.630953836,5.383897151,5.164018414,7.439420433,9.621417733,11.57909493,13.21414557,14.44446407,15.20826884,15.46720467,14.20106456,12.93492445,11.66878434,11.0191163,10.36944826,9.71978022,9.328715227,8.937650234,8.546585242
1/17/14,17,1,15.8231456,6.353365385,2014,17,8.155520249,7.808092044,7.501665028,7.227575301,6.979644564,6.753311759,6.545113654,6.369293063,8.469102896,10.46870125,12.26222337,13.75985614,14.88660344,15.58604173,15.8231456,14.65006868,13.47699176,12.30391484,11.84123168,11.37854853,10.91586538,10.48201376,10.04816214,9.614310524
1/18/14,18,1,16.85851648,7.552541209,2014,18,9.180458904,8.866200276,8.589072329,8.341220705,8.117046561,7.912417904,7.72419809,7.582781331,9.648572262,11.6096953,13.3682152,14.83631427,15.94067792,16.62615591,16.85851648,15.30082418,13.74313187,12.18543956,11.71073718,11.2360348,10.76133242,10.43865557,10.11597872,9.793301873
1/19/14,19,1,14.83825549,7.565247253,2014,19,9.470625024,9.102258693,8.777473136,8.487038758,8.224379218,7.984642795,7.764147532,7.608134192,9.21945741,10.74845326,12.11902279,13.26295193,14.12330657,14.65726627,14.83825549,13.64755037,12.45684524,11.26614011,10.99187271,10.71760531,10.44333791,9.575857291,8.708376669,7.840896047
1/20/14,20,1,13.46875,4.738667582,2014,20,6.973415426,6.540708479,6.159263814,5.818211836,5.509811101,5.228352364,4.969504166,4.814459834,6.744571093,8.575205141,10.21557305,11.58432189,12.61356945,13.25227082,13.46875,12.1319826,10.7952152,9.458447802,8.741185897,8.023923993,7.306662088,6.99844263,6.690223172,6.382003713
