,OUARGLA,Figuier,Foues,Boumerdes,BIR SLAM,BEJAIA,MEDEA 1,MEDEA 2,BOUIRA 1,BOUIRA 2,BLIDA 1,BLIDA 2,BLIDA 3,BLIDA 4,"B,Ezzouar",Beaulieu,Baraki,Benzerga,Ain Taya,Nador,Tipaza,Cherchell,Hadjout,Sidi Ammar Tipaza,Taref,Naama,Total
0,7000,1401.4,185,0,x,5436,11991,9714,4204,3634,4800,7500,7500,2210,12600,10253,5000,10200,4000,98,1446,2010,1946.3,204, xx , xx ,113332.69
0.04,7300,1394.5,175,1574,x,5436,11836,8968,4009,3634,4856,7533,7587,2086,12811,10406,5030,10211,4026,335,1400,2193,2033.3,205,646,2829,118513.45
0.08,6720,1385,163,1419,4813,5392,11538,8627,4021,3634,4760,7359,7044,2075,12086,10037,4867,9788,4027,364,1353,1994,1968,201,621,2535,118789.65
0.13,6747,1386.3,158,1421,4645,5338,11228,8593,4027,3634,4761,7320,6713,1979,11772,9879,4862,9624,4024,321,1307,1982,1941.7,200,637,2347,116847.22
0.17,7092,1393.2,158,1400,4819,5344,11373,8742,4089,3634,4771,7359,6386,1980,11559,9657,4862,9619,3961,327,1308,1468,1964.3,194,644,2200,116303.90
0.21,7562,1384.3,156,1412,4913,5288,11569,8908,4327,3634,4882,7348,6374,2126,11893,10063,4908,9877,4063,258,1358,1591,2000.7,197,650,2080,118822.06
0.25,9013,1376.1,150,1475,5190,5335,12143,9346,5083,3634,5259,7360,6428,2372,12184,10321,5008,10239,4267,270,1510,1843,2124.3,208,696,2009,124845.27
0.29,9729,1373.3,150,1675,5922,5205,12369,10255,5636,3634,5808,7509,6466,2661,13122,10936,5305,11011,4471,319,1655,1871,2405.5,209,809,1994,132500.32
0.33,8842,1356.6,149,1830,6649,5137,11845,11463,6393,3634,6243,7765,7256,2959,14013,11556,5709,11881,4773,306,1801,1971,2789,211,1079,2015,139625.74
0.38,7622,1362,142,2233,8085,5377,11011,12769,6703,3634,6585,8087,8157,3291,15594,12520,6217,13092,5063,313,2051,2419,3237.4,221,1134,2000,148918.74
0.42,6140,1364.2,147,2382,9214,5556,10269,13199,6657,3634,6656,8212,9194,3515,16907,13199,6526,13677,5269,374,2135,2943,3712.8,233,1032,1976,154123.40
0.46,4601,1352.1,156,2345,9778,5687,9515,13374,6489,3634,6687,8227,9631,3463,17383,13387,6602,13675,5485,422,2176,3211,4173.2,236,983,2031,154704.93
0.5,3538,1352.9,167,2344,9487,5636,9136,13334,5596,3634,6445,8301,9812,3424,17967,13570,6530,13731,5025,479,1926,3558,4309.8,236,910,2191,152639.16
0.54,3102,1365.8,180,1966,7803,5530,8901,12468,5232,348,5969,7987,9808,3146,16893,12803,6078,13237,4496,482,1829,3624,3731.2,245,740,2430,140395.04
0.58,2948,1360.2,185,1569,6652,5440,8836,12195,5190,1172,5830,7697,9001,3131,15378,11724,5796,12076,4237,539,1734,2990,3382.9,233,668,2579,132542.95
0.63,2896,1369.4,197,1352,6256,5268,8829,11836,5494,1179,5688,7517,8269,3217,14285,11054,5657,11303,4228,453,1688,3196,3161.1,240,716,2693,128043.26
0.67,2975,1365.5,198,1382,6936,5207,8811,11705,6194,3634,5821,7391,7843,3266,13831,10895,5771,11252,4389,475,1788,2925,3109.4,236,963,2794,131157.66
0.71,3211,1378.5,209,1696,7728,5313,8963,11938,7224,3634,6212,7527,7878,3432,14476,11366,5980,11987,4970,422,2040,3147,3236.8,238,1188,2734,138127.61
0.75,4110,1375.7,211,2150,9328,5435,9353,12516,7870,3634,7033,8150,8202,3802,15814,12434,6645,13275,6337,449,2342,2806,3473.3,234,1354,2514,150847.86
