,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2014-01-01,113332.69,118513.45,118789.65,116847.22,116303.9,118822.06,124845.27,132500.32,139625.74,148918.74,154123.4,154704.93,152639.16,140395.04,132542.95,128043.26,131157.66,138127.61,150847.86,164864.21,165305.62,159481.75,150395.39,138441.24
2014-01-02,128060.93,119703.43,115700.0,114199.11,114791.32,116650.67,123305.79,133284.13,140646.82,146968.71,150165.32,152708.68,152681.9,146538.13,139310.51,136106.96,138019.96,144998.16,156476.56,165573.52,164299.43,157554.4,147092.77,135850.02
2014-01-03,124861.98,116882.46,112185.29,110448.73,110225.9,111898.45,117687.35,124770.21,132008.94,139644.81,145728.97,147180.16,144353.01,130023.13,117194.77,108066.79,109967.09,113691.42,130922.02,146785.98,145207.07,140365.27,131423.7,122585.84
2014-01-04,113232.09,106346.26,102810.02,98230.47,102242.06,104147.17,110317.44,119695.04,126973.51,135695.28,140745.59,143110.98,144000.7,135974.55,127323.67,119529.2,125703.17,129971.78,139029.21,155863.66,158474.24,148114.09,138149.71,126734.48
2014-01-05,116196.45,108262.36,105373.11,104769.69,105507.35,106081.78,112403.36,128565.25,139489.22,142875.93,143214.42,144639.49,142225.68,130695.08,119673.87,119375.35,117812.65,128508.57,143330.53,162567.08,160284.27,152680.72,141374.59,131127.02
2014-01-06,121939.59,114481.67,110847.31,109237.96,109977.35,112578.76,120759.48,134343.54,144293.24,146364.72,145576.66,143139.7,139533.13,128987.85,119983.76,115469.21,115657.89,124276.07,141484.93,159384.15,150631.22,137987.78,126463.29,122941.6
2014-01-07,115698.22,107947.41,110981.39,109107.87,109294.9,111006.49,117878.0,131230.19,142487.68,145565.53,147425.37,145815.08,141119.06,129064.44,119745.54,114951.05,117889.0,126022.17,137873.59,156933.4,156242.76,148413.51,138165.24,128459.94
2014-01-08,116645.56,113597.61,110421.79,109380.3,109628.5,111415.62,118524.25,131965.62,142015.02,144332.53,140285.74,140171.22,135164.03,122792.33,108779.77,107994.0,110376.74,116112.07,134953.18,154286.83,157103.02,151231.88,137495.79,126441.1
2014-01-09,119086.69,113225.52,109996.97,103634.16,109413.53,111212.88,118867.98,131645.23,140869.1,143166.55,143241.47,141183.48,135359.14,121064.96,104468.58,98142.49,100495.75,107669.12,121113.02,140134.41,141666.25,135329.99,123355.53,112083.9
2014-01-10,103451.53,97515.51,100633.37,102304.06,103020.74,104402.98,110219.27,106766.34,125238.16,136073.23,123602.86,148077.45,146852.41,134732.25,118541.14,105719.26,104235.97,114410.17,127304.82,143174.23,142750.75,134837.8,125372.03,117116.96
2014-01-11,109400.28,102479.64,96543.39,99680.33,98862.24,99391.93,104019.4,110634.14,121360.12,129768.8,135099.13,136504.82,133960.03,126575.68,119100.72,115394.35,116666.66,120215.87,132736.52,149353.03,146487.99,135327.09,120737.41,114239.01
2014-01-12,104569.52,99208.22,98089.73,98247.17,99079.86,100794.32,106518.12,118052.04,128516.71,133955.52,140341.11,143579.76,143056.51,135509.0,129250.62,124105.97,125478.37,130810.61,144928.59,155714.84,150154.53,143579.84,131427.05,120696.62
2014-01-13,112057.22,106384.7,103490.04,102456.59,102449.38,104286.6,111905.5,125317.5,135786.25,138546.39,136996.84,137975.37,133959.45,125073.29,118459.51,118725.25,125433.1,136304.59,148203.28,157160.26,148431.6,134663.51,124290.71,115585.45
2014-01-14,109000.45,101876.35,100166.43,100793.04,102083.98,102766.04,107634.34,121377.11,129084.97,138437.34,150753.08,152611.74,152206.63,145241.63,137060.81,133122.71,136057.73,143304.37,154952.08,167243.77,164213.8,144282.24,130747.34,117982.15
2014-01-15,108086.46,100941.83,95598.34,102776.78,106976.86,104090.7,112648.58,131150.46,141162.53,143875.4,149409.65,152635.18,150079.67,138510.46,130009.58,125587.1,127151.72,133138.84,145490.54,161685.52,161438.66,152559.41,141642.0,130116.91
2014-01-16,122089.78,116113.23,112261.05,111077.1,112500.82,114978.04,122282.28,135921.4,145736.85,149199.2,149801.51,147644.15,141137.86,127225.37,117670.59,113792.63,111930.42,121345.8,135846.04,148430.47,148965.2,140492.61,127668.25,119859.0
2014-01-17,110950.36,103904.7,101175.7,100513.5,101321.28,103276.27,108006.04,120448.93,127772.28,136447.5,145780.05,151765.21,151127.95,141584.35,128412.98,119751.16,119776.78,125449.84,137419.86,151526.65,149121.48,138538.51,126376.68,116663.25
2014-01-18,108517.19,103290.97,97946.15,98146.12,98469.49,101198.51,106453.28,114106.2,125910.47,134618.92,141963.25,145204.19,143541.42,133679.41,122168.32,116601.11,118072.52,124351.27,137858.88,151463.72,149907.08,140429.89,128296.83,116730.62
2014-01-19,108482.42,103519.99,99082.03,99385.35,100538.42,94001.12,101719.51,112402.82,127501.28,128966.46,130909.44,130325.2,128264.4,122492.15,130755.97,130570.16,121123.66,143108.06,158461.31,171295.02,167077.47,158437.94,146039.38,132484.78
2014-01-20,122701.42,116100.98,112914.9,112002.61,108727.42,107290.23,116083.36,131293.94,142905.92,147505.03,151669.4,152614.85,158572.98,151064.75,144531.47,138030.89,142410.49,157666.84,164238.33,175013.25,170739.85,170136.05,157321.89,142391.6
2014-01-21,131157.22,123637.62,119043.43,118320.64,118720.82,121782.25,130347.2,144563.14,155330.36,159022.03,163316.38,163285.53,159742.15,151234.25,142816.43,139506.2,141058.55,148979.62,163059.7,175876.18,173405.26,163789.86,149899.72,135676.97
2014-01-22,124405.15,116717.35,113616.03,112540.94,113956.56,117679.71,125916.77,139801.4,149753.46,153189.38,156716.36,158044.55,155960.68,147702.11,140510.9,139132.79,143284.48,152750.73,166540.09,174396.33,174466.9,163891.03,153425.02,139359.52
2014-01-23,127894.65,121052.98,116329.33,113705.31,114022.38,116597.7,125671.65,141410.95,153540.78,157508.95,166869.61,171098.23,170638.71,164664.38,158748.29,156790.35,159082.73,166874.73,178330.3,187603.57,184839.22,176147.65,161547.08,146822.53
2014-01-24,139690.02,131565.73,127309.02,125555.82,126598.96,128465.36,134819.62,144623.29,153304.62,159966.58,171271.28,175278.58,174009.75,164380.11,153603.8,147080.02,147823.05,152518.09,163168.1,178350.73,178218.22,168796.52,157057.81,144870.78
2014-01-25,133417.78,124792.77,120726.31,120146.03,120889.97,122406.02,128972.8,139435.45,148114.96,156758.88,162445.65,164874.06,163905.97,155025.51,146482.9,143303.07,146753.91,152208.52,163136.92,177838.95,175594.34,163789.92,151139.51,138428.45
2014-01-26,126858.08,119645.45,116028.78,115552.99,116927.22,119249.7,126719.84,140227.7,150718.12,155594.09,158567.76,157153.15,155501.14,148145.04,141933.93,139611.09,141047.69,146287.94,153514.64,172717.13,172326.35,159255.44,150554.39,138699.73
2014-01-27,127893.13,121459.31,117867.54,117594.25,118797.41,121600.24,127757.8,143612.09,149470.84,152569.34,150964.8,139514.5,148621.02,141847.91,137064.72,135369.92,137452.96,145385.34,157629.2,157504.03,167410.96,161629.29,149753.51,139037.27
2014-01-28,127962.45,121002.82,116608.51,117624.74,119285.07,120931.44,127400.82,140539.24,149450.2,153082.97,152498.02,154145.24,152780.13,145417.4,141591.91,138775.06,139716.83,146928.56,159577.07,176230.87,176042.23,165542.17,156603.61,145263.92
2014-01-29,138890.55,130887.8,127501.46,126843.75,128015.78,130753.21,138710.79,152093.6,161021.75,163307.53,164783.21,166333.8,165049.53,158761.57,152447.27,149237.66,150618.77,158697.93,170988.3,181686.99,175151.38,165688.83,154889.92,147749.18
2014-01-30,138141.29,131155.17,133791.19,131674.51,131118.57,132707.86,139427.4,151607.27,161917.35,165592.57,172122.88,174319.99,173082.72,167428.72,160314.89,156078.83,156126.51,161209.38,172538.78,181888.34,184222.94,179159.71,166658.05,154327.82
2014-01-31,142828.02,135046.86,130342.52,129047.39,129348.32,131064.71,135745.95,145320.94,155471.81,168361.19,179805.95,184587.86,181956.16,173508.17,162064.54,152588.15,152296.36,156039.18,164031.1,178277.01,182400.62,174971.35,162725.14,149388.82
2014-02-01,120860.37,114214.32,110673.41,109729.79,110881.82,113926.6,119983.2,132504.01,142359.57,151125.5,156632.03,157573.44,140043.92,150396.93,142192.86,138189.02,139047.91,145639.98,156232.95,167813.91,167260.77,158416.93,147067.2,135926.73
2014-02-02,126303.0,120090.06,117256.83,115170.61,114244.03,117101.46,123809.1,135932.48,144916.44,148752.81,154366.55,155238.86,154404.12,154598.38,148963.04,145764.57,138818.13,144348.18,155554.66,169297.51,169936.53,161132.62,149147.11,136447.45
2014-02-03,126165.27,119981.59,117036.55,116756.31,118288.65,120757.67,127421.32,141990.97,152395.58,155914.38,155249.11,152395.21,150038.91,141864.4,135641.23,133924.82,136369.11,143814.89,155808.39,170877.77,172614.08,163361.14,151178.8,137653.86
2014-02-04,127193.34,121411.1,118330.38,117663.38,118151.27,119828.58,125819.17,138940.58,148204.47,151432.35,153584.13,152777.93,149604.93,141756.35,134577.82,131341.22,133478.59,140519.31,151437.71,165594.74,166562.24,158216.29,146147.65,133327.14
2014-02-05,122538.64,115842.09,112414.73,111717.35,112242.04,113802.53,119891.51,133043.16,142503.5,145570.23,143241.55,132336.17,126633.41,122159.5,126999.6,125122.84,126136.22,132132.49,141364.6,150854.86,153154.35,148501.72,140113.58,130550.39
2014-02-06,118883.38,111867.9,107574.16,105724.97,105462.65,106827.95,110647.41,119245.84,125460.6,128382.74,130466.2,130158.7,127059.82,121162.19,116763.22,115648.74,115909.89,118357.79,125894.51,136686.96,139422.47,133053.61,125568.1,117928.99
2014-02-07,109928.6,103845.19,100564.99,98773.69,99183.27,99859.09,103043.91,110926.94,118998.07,128355.05,137780.32,145251.36,145440.4,134411.59,127878.57,125330.64,125038.88,129211.7,138880.96,151734.6,154126.55,147089.55,138507.72,128290.85
2014-02-08,118030.11,110691.3,107340.84,105347.65,105311.78,106455.83,109941.54,119344.75,128111.18,135401.4,141378.63,144668.71,145017.13,137803.18,131478.38,126566.46,125389.59,130485.91,139727.33,152305.6,154653.79,147522.24,139435.12,129123.19
2014-02-09,118665.35,111469.42,107348.46,105416.24,105852.8,106803.82,112425.63,122364.05,130268.33,134011.72,139177.92,144732.3,145764.76,139545.7,133658.35,128895.93,127034.95,129843.12,137302.46,149607.64,140281.35,137484.17,130120.99,120893.79
2014-02-10,111712.68,105931.6,90511.08,98250.81,101982.11,101041.47,104444.19,113674.34,121740.28,126580.36,113343.25,135821.09,133046.32,127977.88,129655.42,131947.61,133127.6,142896.65,157492.04,172616.4,174554.3,167026.6,156452.98,144686.76
2014-02-11,133929.8,124242.62,115951.31,119289.44,119238.24,119064.14,123043.3,132527.55,140042.29,144127.48,148256.37,151588.49,149569.91,144949.32,142893.21,141899.92,142497.66,146265.07,156065.81,170246.94,169686.7,159877.78,150583.24,146477.38
2014-02-12,138644.51,132271.46,128873.03,129590.59,131158.36,129982.54,133254.13,143326.35,150952.48,146718.56,146008.53,147491.07,151354.38,149840.71,144398.19,143241.8,137506.51,136516.64,151990.04,167948.33,170737.61,163745.59,153282.03,143472.09
2014-02-13,134035.23,126611.35,121863.19,121428.04,121483.97,116500.93,122369.49,132416.94,139371.8,143641.53,145571.92,146144.99,143649.64,136826.95,130335.6,129048.19,131244.99,136242.35,144171.78,152424.6,154276.46,145136.68,134760.18,125273.93
2014-02-14,117549.06,112212.18,108850.49,108168.71,108537.63,107753.7,109266.91,113600.7,120483.14,129080.51,133479.77,134359.62,131692.85,120490.97,109917.1,104600.08,105179.55,110366.41,117151.24,128115.22,132295.19,125275.04,115272.2,106491.78
2014-02-15,100393.37,96558.05,92202.88,91350.37,92202.0,91990.41,93764.87,100523.31,106854.43,110686.97,112271.73,112756.98,111349.33,103799.6,95521.17,90080.24,90525.17,95776.45,103492.57,114632.54,118547.4,112360.76,104375.56,96562.83
2014-02-16,91021.45,85660.4,81684.49,81952.38,83304.01,83619.29,85907.93,94647.92,100337.43,101275.14,103511.58,104598.32,104636.16,98345.69,91434.82,89252.17,90950.07,97200.75,105446.18,118595.03,121505.08,114534.44,105504.36,98272.42
2014-02-17,92238.73,88175.17,85347.22,85939.78,87031.37,86884.5,89793.16,98484.82,106098.05,109541.72,112509.97,108868.83,108659.24,108392.1,99508.58,95873.58,96696.66,103384.4,113701.92,126514.19,128772.53,121186.3,113866.5,106785.41
2014-02-18,100446.86,95853.02,93080.74,93257.5,92670.09,90234.32,92386.23,102341.11,107771.04,110512.61,113716.12,116070.45,116445.37,111338.66,107311.06,106252.22,109212.97,122281.75,138745.48,149674.15,149048.8,136750.9,124727.9,115397.8
2014-02-19,109964.79,105512.91,102193.99,103036.06,102451.63,101876.87,104134.39,111781.16,118459.48,122412.36,126056.38,128972.9,131370.84,127488.36,123731.66,122924.72,124970.93,130933.81,139211.9,148640.84,153103.27,145574.58,133821.84,123730.42
2014-02-20,116607.05,111212.79,108336.9,107851.25,108107.71,106350.22,108135.67,116279.99,123534.66,127525.47,131427.76,133948.99,134014.43,127370.98,122690.86,121333.73,122966.34,128145.27,134253.0,143767.88,148127.42,142263.85,131964.41,122355.21
2014-02-21,114783.73,108559.61,105297.28,104503.95,105039.28,104546.48,106259.93,111756.75,118588.98,126516.48,132694.99,136143.93,136568.13,128654.64,121121.16,117452.13,118617.44,125601.92,134523.57,144847.33,148070.77,140787.54,130402.54,120647.47
2014-02-22,112859.68,107089.49,103026.45,101859.72,102590.9,102372.87,103929.22,110876.39,117757.71,124423.12,133029.22,140481.19,145174.4,144288.1,141194.01,137225.07,136784.31,141118.31,147706.98,158656.98,162004.46,155025.02,143559.14,131914.53
2014-02-23,121943.99,116290.59,112704.92,112428.97,114319.23,114167.74,116752.54,126626.87,135802.18,138031.81,139256.24,138700.74,137781.52,131879.74,126261.54,125030.1,128288.47,133747.59,141694.35,154695.27,160217.36,153593.86,141882.36,130243.88
2014-02-24,122068.39,116705.92,113262.67,113882.6,116206.76,115472.2,118001.94,126981.6,135798.52,136401.11,137016.69,137733.43,135157.68,127534.59,123553.44,122060.84,124023.21,129678.57,138419.95,152192.53,156470.87,149605.17,139347.57,128465.33
2014-02-25,121693.14,117071.6,113228.43,114576.43,115815.53,114654.11,117878.45,127130.01,136102.61,139759.57,143621.41,145780.83,146490.33,141578.24,138890.56,139614.94,142889.87,147203.03,154776.0,165031.01,167461.52,159036.28,147701.68,137043.83
2014-02-26,129153.94,122445.93,119285.49,120661.6,122557.14,120672.78,123411.52,132011.08,139540.83,141478.29,142810.22,142473.75,141940.55,135673.13,129741.89,128617.92,132019.76,137600.23,146665.02,158443.02,163178.61,157441.03,147847.91,138838.2
2014-02-27,130021.46,124035.72,118773.85,116387.94,116316.83,115714.69,118916.71,128273.52,138071.3,143765.75,147169.2,147834.41,147591.94,140795.14,136580.93,135335.98,137840.09,142994.56,149107.27,158743.11,165000.56,160039.91,148418.6,136374.17
2014-02-28,126363.54,119398.29,114373.48,112800.53,113061.94,112718.18,115643.42,123234.47,131942.51,142398.99,148208.08,152619.97,153119.43,142518.41,130539.97,123349.98,123235.23,129542.7,138022.21,150645.95,154993.41,147970.31,136983.68,126537.62
2014-03-01,113002.8,110803.97,108151.61,106638.34,106944.71,108660.65,113807.91,122374.34,133867.17,146016.31,157007.95,165132.99,168238.32,160322.75,150461.89,143768.89,143350.25,151007.8,161886.87,174765.15,176787.21,165934.3,151228.64,136646.77
2014-03-02,124167.89,116233.0,112200.39,110760.56,111473.05,113088.16,120194.63,134226.86,144628.85,150083.58,156778.64,160152.69,158076.6,149618.57,142428.95,134799.54,138298.78,143072.89,150642.08,162342.65,167213.06,152349.95,143094.09,130423.94
2014-03-03,118571.54,110183.49,105557.86,107648.59,107942.59,110404.95,117657.2,130022.03,139761.48,142992.12,144703.86,144347.32,142788.34,133018.9,127257.87,126585.69,130638.36,138214.4,146422.97,158554.8,163555.28,154474.01,141723.52,128737.25
2014-03-04,117935.89,109970.79,106329.18,105609.1,106976.24,110008.82,117593.2,132236.04,143596.24,148750.35,152409.59,154515.62,152344.51,143616.49,137488.44,133810.6,134010.29,140555.39,149850.98,164530.29,171758.15,160442.01,146585.75,132011.78
2014-03-05,121099.28,112680.64,108264.14,107084.63,107663.21,110332.61,116840.31,129753.66,140884.19,144646.02,148907.45,152427.67,150949.3,135937.86,124772.65,127927.44,133031.08,140692.76,150389.41,159908.88,163423.46,156190.37,143434.15,131131.98
2014-03-06,121462.15,114425.04,108782.14,106501.7,106573.88,108832.34,115316.58,127471.78,139466.27,143822.81,146041.5,146489.28,145154.89,135659.42,128187.06,123639.45,125032.15,133130.98,143848.62,156465.48,162834.65,155852.14,143658.61,129899.85
2014-03-07,118687.38,110973.99,105896.74,104470.56,103537.9,97315.52,102111.82,116843.03,121689.87,141424.38,151919.71,157569.0,158835.86,149051.02,136567.08,129925.12,131301.21,134494.74,136722.31,144443.32,151809.52,144986.56,132743.74,122929.42
2014-03-08,115536.58,108386.33,104046.77,102095.74,101951.61,103139.32,107667.65,116894.94,127908.57,135871.88,138920.97,138566.9,135906.23,126415.51,117407.47,110775.55,109059.56,113585.78,121381.26,133449.77,145120.92,141532.1,130274.63,119657.62
2014-03-09,111811.72,106398.95,102317.08,100284.34,99729.26,101807.02,112135.01,121159.11,132724.42,133836.3,135789.31,136364.43,134782.16,126247.85,119879.65,115812.43,116360.64,122484.15,131867.29,145687.31,154368.05,147428.14,135331.07,124549.19
2014-03-10,115730.35,108942.53,104145.64,102375.33,102311.82,104590.04,111469.29,123962.99,135510.96,136867.48,116269.67,139869.36,141121.28,133033.97,126654.57,122417.9,123763.84,129668.64,138630.58,151005.12,157417.15,150114.49,137200.16,126223.78
2014-03-11,117805.55,110812.93,106162.38,103917.29,103451.64,104978.05,111482.92,123627.59,134770.98,135789.22,138665.71,140126.83,139291.85,133467.28,124451.01,121449.96,124947.71,129008.79,136768.97,148490.64,156069.35,148756.15,136651.88,125987.2
2014-03-12,117260.65,110894.45,106326.76,104446.33,104140.53,105556.99,112036.23,124266.88,134791.09,134815.28,135558.13,136568.79,134942.56,127130.44,119838.14,116863.4,118000.6,123699.3,132556.29,145496.8,156124.9,150969.57,140373.15,130161.42
2014-03-13,121901.47,114302.48,108293.11,105502.2,104604.18,105743.23,110723.39,121388.43,131821.08,134850.53,138887.0,144694.67,147182.21,142286.44,136858.95,136640.19,138783.26,145356.66,154235.48,164204.39,167525.02,161689.94,151265.15,140905.1
2014-03-14,131967.24,122605.61,117187.72,115395.74,113922.95,114014.86,117102.81,123922.03,133041.86,144963.32,158237.97,168237.18,172873.8,167330.88,159831.51,157353.4,158913.05,162776.3,165808.5,170169.06,170486.14,164506.92,153943.29,142340.05
2014-03-15,133112.77,123469.36,114647.81,111214.36,111794.24,111622.42,114374.97,121424.55,130962.49,141204.63,150726.93,157984.16,162166.02,157804.58,152230.43,148024.59,147614.69,150107.95,152798.87,160078.88,164865.92,159202.73,147101.92,135741.18
2014-03-16,126772.65,118519.64,112666.81,110207.04,108825.45,108386.55,108307.34,122296.69,138744.85,142842.23,144910.54,146693.18,144312.76,135377.75,127873.14,123555.35,121098.79,125511.94,132279.46,143204.4,152780.9,147192.38,135257.94,123202.46
2014-03-17,115367.01,111222.82,109242.21,106758.08,105836.03,100772.45,103563.44,115438.62,131950.61,130418.81,128430.6,127894.9,124212.23,113919.51,108966.93,103127.36,101491.2,104739.46,112678.61,127047.67,136217.35,129200.47,117735.16,107207.12
2014-03-18,99123.01,95427.1,96140.35,97410.33,98190.36,99090.13,103302.95,111514.42,118670.3,117149.22,115351.57,114001.9,110933.01,103062.19,97150.75,92402.61,92647.84,95370.37,102055.26,112754.14,120797.12,113781.64,103425.62,94382.84
2014-03-19,87733.0,84513.31,84862.11,86312.93,87840.02,88120.74,91525.38,98850.3,105937.19,106274.18,106744.06,107294.48,105595.04,97201.86,91434.28,88742.9,90190.25,95650.59,104751.54,118149.47,125164.74,118108.37,108395.13,98401.72
2014-03-20,91159.4,86437.84,84632.75,86081.64,88745.49,89624.95,92560.35,98394.34,104790.59,106480.47,106148.6,106816.29,106183.9,99415.13,92827.11,89845.74,92564.4,98284.97,105336.94,115197.3,122861.23,115416.24,104445.73,94791.16
2014-03-21,87979.81,82970.83,81242.85,82802.31,85346.39,84840.22,86159.92,89768.59,97256.74,106498.04,115198.52,122213.05,123069.68,114463.09,102179.18,94867.63,94241.84,98276.44,104448.15,113080.33,121149.73,117458.75,106170.88,97356.19
2014-03-22,90395.84,86067.82,83886.99,84198.89,87626.68,88187.81,89450.99,93318.46,100208.51,104172.28,105548.82,106888.28,104884.74,96828.55,88342.71,82563.53,83224.45,89229.25,96124.11,104815.78,111837.36,105945.75,95894.62,87930.23
2014-03-23,82108.67,77449.74,76146.5,76944.81,78822.68,79998.27,84394.26,90271.8,96006.2,99788.02,102906.6,99990.69,100064.6,93838.28,86939.67,83892.03,85182.51,95922.06,101065.89,112612.33,121429.19,114175.72,110936.35,100877.6
