Temp high,Temp avg,Temp low,Humidity high,Humidity avg,lHumidity ow,Wind high,Wind avg,Wind high
19,11,2,100,76,28,11,5,0
18,11,4,100,75,40,19,6,0
22,16,9,94,74,46,21,8,0
21,13,7,94,75,41,23,6,0
17,13,8,100,74,36,52,19,77
21,13,6,100,75,33,14,5,0
22,13,5,100,80,40,14,3,0
23,13,4,100,79,34,13,3,0
24,14,4,94,78,38,19,3,0
23,16,7,94,61,26,16,5,0
18,14,9,88,75,49,10,5,0
16,13,11,94,92,74,21,6,0
19,13,7,100,82,52,21,5,39
17,13,10,100,79,52,34,14,0
17,12,7,100,82,42,21,8,0
22,13,4,100,84,43,23,3,0
17,12,7,100,92,82,11,5,0
20,16,11,94,65,36,27,13,42
17,13,9,100,73,45,47,14,69
14,11,8,94,73,51,60,24,71
16,11,7,94,77,48,34,14,52
16,12,8,100,83,57,14,6,0
13,12,10,100,93,77,24,10,32
16,11,7,100,83,59,39,11,53
17,12,8,94,84,66,26,16,0
19,16,12,100,85,62,27,11,0
18,14,10,94,79,60,42,18,58
16,13,10,82,57,42,37,29,52
17,12,7,100,76,51,26,13,0
15,11,8,100,80,50,29,13,0
15,9,4,98,81,56,21,10,0
16,11,5,100,82,49,13,6,0
14,9,3,94,69,37,32,18,0
16,8,0,94,77,34,19,5,0
17,11,5,94,77,41,23,8,0
21,13,6,93,76,35,29,6,0
24,17,11,94,81,50,19,6,0
17,13,8,100,73,49,48,18,66
19,10,2,95,65,27,29,10,0
22,17,12,94,76,36,35,11,0
16,12,8,94,78,51,58,19,85
14,11,7,93,65,44,42,26,58
17,12,7,100,87,59,27,13,0
22,14,7,100,83,56,29,11,45
26,19,11,94,74,40,16,10,0
26,18,9,94,73,33,13,5,0
23,18,12,94,56,20,23,11,0
19,13,7,100,91,74,13,6,0
18,14,11,100,77,25,40,14,40
14,12,11,100,93,82,19,11,0
17,13,9,99,84,45,37,10,0
19,12,4,100,82,52,24,8,0
14,10,7,100,94,76,24,5,0
